,year_pair,location_code,Product,export,eci,pci,density,coi,cog,rca1,rca2,M_num_0_5,M_num_0_55,M_num_0_6,M_num_0_65,M_num_0_7,M_num_0_75,M_num_0_8,M_num_0_85,M_num_0_9,M_num_0_95,M_num_1,M_0_5,M_0_55,M_0_6,M_0_65,M_0_7,M_0_75,M_0_8,M_0_85,M_0_9,M_0_95,M_1
26,2004_2009,Centro,212394,1.0,1.3324160270586243,-0.5167038194659831,0.2625607779578606,-1.6836704675583043,-0.3835954897919887,0.6119057465238729,0.9894602570204664,,,,,,,,,,,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped
27,2004_2009,Centro,212395,1.0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.30595287326193643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
28,2004_2009,Centro,212396,0.0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
29,2004_2009,Centro,212397,1.0,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,2.4476229860954914,2.4736506425511657,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2004_2009,Centro,212398,1.0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.30595287326193643,0.824550214183722,,,,,,,,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
31,2004_2009,Centro,212399,7.0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.33594825299349884,0.5996728830427068,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
32,2004_2009,Centro,213111,1.0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.12238114930477458,0.43020011174802886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
33,2004_2009,Centro,213119,4.0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.10093290664311305,0.2425147688775653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
34,2004_2009,Centro,221111,10.0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.4895245972190983,0.761123274631128,,,,,,,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
35,2004_2009,Centro,221210,4.0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.6993208531701404,1.0601359896647855,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,Transition,Transition,Transition,Transition,Transition,Transition,Transition
