anio,nuevas_inversiones,reinversion_utilidades,cuentas_entre_companias,total,edo,ied
2018,55.80727300000001,70.55469607006668,5.3727956000000034,131.73476467006665,Campeche,126.36196907006669
2019,0.0,3.2139086686744935,1.8349029700000008,6.038735688674493,Campeche,3.2139086686744935
2020,4.07529193,0.28834532662165724,-59.87795155999999,-55.514314303378335,Campeche,4.363637256621657
2021,0.3043542869235769,-0.9306468566919666,-41.39130555474587,-42.01759812451426,Campeche,-0.6262925697683897
2022,61.17684326692358,73.12630320867086,-94.06155854474584,40.2415879308485,Campeche,134.30314647559445
2006,51.25243736,12.18384765,-33.609747729999995,29.82653727999998,Chiapas,63.436285010000006
2007,156.2354076870739,131.34252181,-30.930619930000002,256.6473095670742,Chiapas,287.5779294970739
2008,30.793328699999993,103.66604876999997,-27.628120129999996,106.83125734000001,Chiapas,134.45937746999996
2009,-5.0548817700000015,3.00622874,44.70736206999998,42.65870904000001,Chiapas,-2.0486530300000014
2010,17.421329789999998,-0.6469881800000001,-36.02499699,-19.25065538000003,Chiapas,16.774341609999997
2011,18.10929669,-0.63998471,-14.56622238,2.9030896000000066,Chiapas,17.46931198
2012,61.269073410000004,105.38530461999997,-33.511977430000016,133.14240060000003,Chiapas,166.65437802999998
2013,3.4424320799999997,87.6980231935333,146.77232176999996,237.91277704353325,Chiapas,91.1404552735333
2014,3.98237176,46.142100240000005,-56.31457584000001,-6.190103839999998,Chiapas,50.124472000000004
2015,2.44114662,-0.7097668600000001,-15.852928339999998,-14.121548579999995,Chiapas,1.7313797599999998
2016,1.0000531199999998,-5.31451244,-56.24634738999999,-60.56080670999999,Chiapas,-4.31445932
2017,10.86600358,127.81584413353328,18.358470200000035,157.04031791353324,Chiapas,138.68184771353327
2018,88.98702813999999,95.03230585266222,108.10283661999998,292.12217061266216,Chiapas,184.0193339926622
2019,0.0,2.710994883493472,-16.24309791,-12.576255306506527,Chiapas,2.710994883493472
2020,0.0,0.5349810830027273,-37.744639819999996,-33.54831252699727,Chiapas,0.5349810830027273
2021,1.3049554510585062,-1.1557491034780443,-59.40637679678403,-59.257170449203564,Chiapas,0.14920634758046192
2022,94.9091775210585,97.12253271568038,-5.291277906784032,186.74043232995476,Chiapas,192.0317102367389
2006,81.80980823116528,-23.026494569999997,191.8703282600001,250.65364192116547,Chihuahua,58.78331366116528
2007,226.88725994687005,501.9039308899999,678.2027472300001,1406.993938066869,Chihuahua,728.79119083687
2008,60.442083209999986,302.40158841,-5.028896329999988,357.81477529000006,Chihuahua,362.84367161999995
2009,-51.426432299999995,61.863248320000004,207.33509960000006,217.77191562,Chihuahua,10.436816020000009
2010,22.49073392,-6.354119249999999,-87.05498378000007,-70.91836911000004,Chihuahua,16.13661467
2011,-50.59884516322732,-81.45271883,268.44531992999987,136.39375593677255,Chihuahua,-132.05156399322732
